时间：2017/5/27 17:57:58-------城市：北京市，北京市，东城区
时间：2017/5/27 17:57:58-------省份为：北京市
时间：2017/5/27 17:57:58-------城市为：北京市
时间：2017/5/27 17:57:58-------区为：东城区
时间：2017/5/27 17:58:00-------发送数据：{"ReceivName":"张三","ReceivTel":"13588889999","ReceivPhone":"13588889999","ReceivProvice":"11","ReceivCity":"1101","ReceivArea":"110101","ReceivProviceName":"北京市","ReceivCityName":"北京市","ReceivAreaName":"东城区","ReceivAddress":"城墙上","TaxName":"张三的发票","TaxPhone":"13588889999","TaxMailAdd":"城墙上","OrderNo":"201705260609695","OrderTime":"2017/5/26 16:31:04","FValue":"510.00","ReValue":"510.00","OrderNote":"","SerialNum":"4001052001201609043115564444","BMBM":"DZ060206","WLDW":"000237","Details":[{"GoodsCode":"83684","OrderQuantity":"1","OrderFprice":"510.00","OrderRePrice":"490.00"}]}
时间：2017/5/27 17:58:58-------城市：北京市，北京市，东城区
时间：2017/5/27 17:58:58-------省份为：北京市
时间：2017/5/27 17:58:58-------城市为：北京市
时间：2017/5/27 17:58:58-------区为：东城区
时间：2017/5/27 17:58:58-------发送数据：{"ReceivName":"张三","ReceivTel":"13588889999","ReceivPhone":"13588889999","ReceivProvice":"11","ReceivCity":"1101","ReceivArea":"110101","ReceivProviceName":"北京市","ReceivCityName":"北京市","ReceivAreaName":"东城区","ReceivAddress":"城墙上","TaxName":"张三的发票","TaxPhone":"13588889999","TaxMailAdd":"城墙上","OrderNo":"201705260609695","OrderTime":"2017/5/26 16:31:04","FValue":"510.00","ReValue":"510.00","OrderNote":"","SerialNum":"4001052001201609043115564444","BMBM":"DZ060206","WLDW":"000237","Details":[{"GoodsCode":"83684","OrderQuantity":"1","OrderFprice":"510.00","OrderRePrice":"490.00"}]}
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:03:01
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:04:02
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:05:02
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:06:02
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:07:02
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:08:02
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:09:02
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:10:02
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:11:02
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:12:02
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:13:02
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:14:02
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:15:02
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:16:02
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:17:02
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:18:02
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:19:02
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:20:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:21:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:22:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:23:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:24:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:25:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:26:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:27:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:28:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:29:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:30:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:31:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:32:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:33:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:34:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:35:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:36:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:37:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:38:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:39:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:40:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:41:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:42:03
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:43:04
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:44:04
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:45:04
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:46:04
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:47:04
**********定时器进入判断是否存在过期并已经发货的订单*******
2017/5/27 18:48:04
